"Date","Pitches","PA","AB","Hits","BB%","BA","ha","walks"
"2024-06-02",31,5,2,1,60,0.5,0.2,3
"2024-05-08",26,6,5,3,16.7,0.6,0.5,1
"2024-07-28",26,5,5,1,0,0.2,0.2,0
"2024-04-18",26,6,6,3,0,0.5,0.5,0
"2024-06-24",26,5,5,1,0,0.2,0.2,0
"2024-08-11",25,5,4,0,20,0,0,1
"2024-09-29",24,5,4,1,20,0.25,0.2,1
"2024-08-25",24,4,3,1,25,0.333,0.25,1
"2024-04-12",22,6,6,1,0,0.167,0.167,0
"2024-05-04",22,6,6,2,0,0.333,0.333,0
"2024-06-29",22,5,5,0,0,0,0,0
"2024-05-21",22,5,5,1,0,0.2,0.2,0
"2024-07-10",22,5,4,2,20,0.5,0.4,1
"2024-09-13",22,5,4,0,0,0,0,0
"2024-07-08",22,5,4,2,20,0.5,0.4,1
"2024-07-12",21,4,3,3,25,1,0.75,1
"2024-07-29",21,5,5,1,0,0.2,0.2,0
"2024-04-21",21,5,5,1,0,0.2,0.2,0
"2024-08-23",21,5,4,0,20,0,0,1
"2024-06-15",21,5,4,3,20,0.75,0.6,1
"2024-06-30",21,6,4,0,33.3,0,0,2
"2024-05-25",20,4,4,0,0,0,0,0
"2024-08-10",20,3,2,0,33.3,0,0,1
"2024-05-12",20,4,4,2,0,0.5,0.5,0
"2024-09-28",20,5,3,1,40,0.333,0.2,2
"2024-05-26",20,5,4,0,20,0,0,1
"2024-08-24",20,5,5,2,0,0.4,0.4,0
"2024-06-26",19,5,5,0,0,0,0,0
"2024-09-24",19,5,5,2,0,0.4,0.4,0
"2024-08-12",19,5,5,1,0,0.2,0.2,0
"2024-07-26",19,5,5,1,0,0.2,0.2,0
"2024-04-01",19,5,3,0,40,0,0,2
"2024-06-28",19,4,4,0,0,0,0,0
"2024-09-11",19,5,5,2,0,0.4,0.4,0
"2024-08-29",18,5,5,0,0,0,0,0
"2024-07-09",18,5,4,1,20,0.25,0.2,1
"2024-06-16",18,4,4,0,0,0,0,0
"2024-07-30",18,4,4,0,0,0,0,0
"2024-06-25",18,4,4,0,0,0,0,0
"2024-08-27",17,5,4,1,20,0.25,0.2,1
"2024-05-06",17,5,5,0,0,0,0,0
"2024-05-03",17,4,4,1,0,0.25,0.25,0
"2024-05-08",17,5,5,3,0,0.6,0.6,0
"2024-07-27",17,4,3,1,25,0.333,0.25,1
"2024-08-14",17,6,6,1,0,0.167,0.167,0
"2024-07-13",16,5,5,1,0,0.2,0.2,0
"2024-07-14",16,4,3,1,25,0.333,0.25,1
"2024-09-25",16,5,4,1,20,0.25,0.2,1
"2024-09-10",16,4,4,0,0,0,0,0
"2024-05-31",16,4,4,1,0,0.25,0.25,0
"2024-04-02",15,4,3,0,25,0,0,1
"2024-09-12",15,4,4,2,0,0.5,0.5,0
"2024-05-05",15,5,5,1,0,0.2,0.2,0
"2024-05-22",15,5,4,1,20,0.25,0.2,1
"2024-04-16",15,4,4,1,0,0.25,0.25,0
"2024-04-14",14,5,5,2,0,0.4,0.4,0
"2024-04-03",14,5,5,2,0,0.4,0.4,0
"2024-06-13",14,4,3,1,25,0.333,0.25,1
"2024-05-10",14,4,3,0,25,0,0,1
"2024-04-20",14,4,4,0,0,0,0,0
"2024-08-28",14,5,4,0,20,0,0,1
"2024-06-12",14,5,5,1,0,0.2,0.2,0
"2024-05-11",14,5,4,1,0,0.25,0.2,0
"2024-09-27",14,5,5,3,0,0.6,0.6,0
"2024-06-27",13,4,4,1,0,0.25,0.25,0
"2024-09-14",12,4,4,1,0,0.25,0.25,0
"2024-04-19",12,4,4,2,0,0.5,0.5,0
"2024-06-01",12,5,5,3,0,0.6,0.6,0
"2024-04-13",12,4,4,1,0,0.25,0.25,0
"2024-06-11",11,3,3,0,0,0,0,0
"2024-08-10",11,5,5,1,0,0.2,0.2,0
"2024-05-24",11,5,4,1,20,0.25,0.2,1
"2024-05-23",10,4,4,0,0,0,0,0
"2024-04-17",10,4,4,0,0,0,0,0
"2024-05-07",10,5,5,4,0,0.8,0.8,0
"2024-09-26",10,4,4,0,0,0,0,0
"2024-07-31",9,3,3,2,0,0.667,0.667,0
"2024-09-15",9,3,3,0,0,0,0,0
"2024-06-14",9,4,4,1,0,0.25,0.25,0
"2024-04-15",8,4,4,1,0,0.25,0.25,0
"2024-08-13",7,4,4,1,0,0.25,0.25,0
