player_id,name,birth_date,roster_position_code,bats,throws
688815,Anthony Quirion,10/29/1997,C,R,R
621563,Joey Wendle,4/26/1990,SS,L,R
695481,Jay Allen,11/22/2002,OF,R,R
702463,Aaron McKeithan,12/13/1999,C,R,R
693850,Kala'i Rosario,7/2/2002,RF,R,R
684081,Erick Brito,5/25/2002,2B,R,R
684260,Jose Estrada,5/5/2000,C,R,R
694929,Gus Steiger,4/20/1999,SS,R,R
678781,Angel Basabe,12/12/2000,LF,L,L
656472,Jakob Goldfarb,6/23/1996,C,L,R
691627,Ricardo Olivar,8/10/2001,C,R,R
680763,Eric De La Rosa,6/3/1997,LF,R,R
686941,Brett Barrera,5/7/2001,SS,R,R
702314,Sean Hermann,6/13/2003,RHS,R,R
693313,Carson Seymour,12/16/1998,RHP,R,R
675914,Tony Dibrell,11/8/1995,RHS,R,R
682769,Eiberson Castellano,5/9/2001,RHS,R,R
594798,Jacob deGrom,6/19/1988,RHS,L,R
571951,Bryan Mitchell,4/19/1991,RHS,L,R
674265,Kevin Abel,2/19/1999,RHP,R,R
700188,Dylan Tebrake,7/13/1999,RHS,R,R
678640,Carlos Betancourt,3/27/2001,RHP,R,R
673215,Juan Diaz,6/19/1998,LHS,L,L
692845,Franklin Sanchez,9/12/2000,RHS,R,R
684084,Sergio Umana,5/21/2000,RHS,R,R
687189,Marcus Johnson,12/11/2000,RHS,R,R
682656,Sergio Campana,3/29/2002,CF,S,R
694351,Jacob Berry,5/5/2001,3B,S,R
702261,Termarr Johnson,6/11/2004,SS,L,R
658652,Oscar Campos,12/8/1996,C,R,R
702472,Austin Callahan,6/6/2001,3B,L,R
680636,Ramon Mendoza,8/31/2000,2B,R,R
700824,Freylin Minyety,10/22/1999,SS,R,R
687543,Andrew Jenkins,11/3/2000,1B,R,R
694336,Dom Johnson,3/7/2001,CF,R,R
687012,Tayler Aguilar,8/15/2000,OF,L,L
805725,Jake Miller,6/27/2001,LHS,L,L
595411,Ryan Sherriff,5/25/1990,LHR,L,L
679066,Valentin Linarez,2/14/2000,RHS,R,R
683349,Calvin Ziegler,10/3/2002,RHP,R,R
694496,John Stankiewicz,9/8/1998,RHP,R,R
690501,Tyler Eckberg,9/4/1997,RHR,R,R
689379,Aidan Anderson,6/21/1997,RHR,R,R
678672,Carlos Guarate,3/30/2001,RHS,R,R
689877,Ryan Harbin,8/6/2001,RHS,R,R
701603,Tyler Stuart,10/8/1999,RHS,R,R
684093,Adony Mejia,6/9/2001,C,R,R
672280,Brady Smith,11/18/1998,C,R,R
683103,Cade Doughty,3/26/2001,2B,R,R
683847,Brandon Hernandez,8/21/2001,3B,L,R
605119,Brian Anderson,5/19/1993,3B,R,R
665975,Lolo Sanchez,4/23/1999,LF,R,R
687567,Jorel Ortega,1/22/2001,2B,R,R
693459,Kyler Fedko,9/21/1999,OF,R,R
678276,Jose Ferrer,3/1/1999,C,R,R
702140,Ruben Ibarra-Robinson,4/26/1999,1B,R,R
683549,Alexander Mojica,8/2/2002,3B,R,R
678742,Rainer Nunez,12/4/2000,1B,R,R
681117,Evan Taylor,12/26/1999,LHR,L,L
685001,Chandler Jozwiak,2/15/1999,LHS,L,L
685310,Braden Scott,2/6/1998,LHR,R,L
681097,Andrew Moore,8/11/1999,RHP,L,R
679005,Yon Castro,5/23/1999,RHR,R,R
668662,Gianluca Dalatri,4/4/1998,RHP,R,R
656647,Taylor Lehman,12/30/1995,LHR,L,L
673747,Edgar Sanchez,8/2/2000,RHR,R,R
641900,Scott Moss,10/6/1994,LHS,L,L
543243,Sonny Gray,11/7/1989,RHS,R,R
677585,Zaquiel Puentes,12/30/2000,RHS,R,R
687677,Arij Fransen,5/20/2001,RHS,R,R
687078,Jasiah Dixon,8/31/2001,RF,R,R
665953,Andres Chaparro,5/4/1999,3B,R,R
687942,Torin Montgomery,5/2/2001,1B,R,R
672799,Hugo Cardona,9/5/1999,SS,R,R
656371,Isan Diaz,5/27/1996,2B,L,R
679007,Rafael Franco,6/20/2001,CF,R,R
692944,Kevin Villavicencio,11/24/2003,SS,R,R
672623,Esney Chacon,3/17/2000,CF,R,R
669327,Tanner Allen,6/5/1998,OF,L,R
681400,Danny Serretti,5/7/2000,SS,S,R
692479,Dahian Santos,2/26/2003,RHS,R,R
