Opponent,Home_Away,Series_Length,Series_Number,Park_Effect
Red Sox,H,4,1,99
Reds,A,3,2,102
Rays,H,3,3,99
Cubs,A,3,4,96
Mariners,A,3,5,90
Angels,H,3,6,99
Dodgers,H,3,7,99
Athletics,A,3,8,98
Giants,A,3,9,100
Athletics,H,4,10,99
Mariners,H,3,11,99
Red Sox,A,3,12,106
Tigers,A,3,13,98
Rockies,H,3,14,99
Astros,H,4,15,99
Yankees,A,3,16,96
White Sox,A,3,17,100
Blue Jays,H,3,18,99
Cardinals,H,3,19,99
Rays,A,3,20,97
Nationals,A,3,21,99
Twins,A,3,22,101
White Sox,H,3,23,99
Royals,H,3,24,99
Pirates,A,3,25,100
Orioles,A,3,26,104
Mariners,H,3,27,99
Orioles,H,3,28,99
Padres,A,3,29,96
Angels,A,4,30,99
Astros,A,3,31,100
Tigers,H,3,32,99
Athletics,H,3,33,99
Braves,H,3,34,99
Angels,A,3,35,99
Mariners,A,4,36,90
Yankees,H,3,37,99
Phillies,H,3,38,99
D-backs,H,3,39,99
Blue Jays,A,3,40,102
Royals,A,4,41,108
Guardians,H,3,42,99
Angels,H,3,43,99
Athletics,A,3,44,98
D-backs,A,3,45,107
Astros,H,3,46,99
Brewers,H,3,47,99
Mets,A,3,48,93
Astros,A,3,49,100
Marlins,H,3,50,99
Twins,H,3,51,99
Guardians,A,3,52,95
